,name,ratting,review,company_type,hq,old,employee
71,EXL Service,3.8,(2.5k Reviews),Private,"New York, USA + 22 more",22 years old,10001-50000 employees
72,IIFL,3.8,(2.4k Reviews),Public,Mumbai + 333 more,26 years old,10001-50000 employees
73,UltraTech Cement,4.3,(2.4k Reviews),Public,"Mumbai,Maharashtra + 248 more",38 years old,10001-50000 employees
74,Nokia,4.3,(2.4k Reviews),Private,Espoo + 157 more,156 years old,50001-100000 employees
75,Wipro BPS,3.8,(2.4k Reviews),Bengaluru + 27 more,21 years old,10001-50000 employees,
76,Vivo,4.1,(2.4k Reviews),Private,"Dongguan,Guangdong + 264 more",12 years old,10001-50000 employees
77,Oyo Rooms,3.5,(2.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 93 more",8 years old,10001-50000 employees
78,Udaan,4.2,(2.3k Reviews),Private,Bengaluru + 231 more,5 years old,5001-10000 employees
79,Aurobindo Pharma,4.1,(2.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 32 more",35 years old,10001-50000 employees
80,Hyundai Motor,4.3,(2.3k Reviews),Private,Seoul + 182 more,54 years old,100001+ employees
81,Siemens,4.2,(2.2k Reviews),Public,"Munich,Bavaria + 81 more",174 years old,5001-10000 employees
82,Larsen & Toubro In...,3.8,(2.2k Reviews),Public,Mumbai + 63 more,25 years old,10001-50000 employees
83,Wipro Consumer Ca...,3.8,(2.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 56 more",76 years old,5001-10000 employees
84,Axis Direct,4.0,(2.1k Reviews),Private,"Mumbai,Maharashtra + 252 more",16 years old,10001-50000 employees
85,TVS Motor,4.2,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 189 more",42 years old,5001-10000 employees
86,eClerx,3.6,(2.1k Reviews),Public,Mumbai + 14 more,21 years old,100001+ employees
87,PwC,3.6,(2.1k Reviews),London + 48 more,23 years old,100001+ employees,
88,Max Life Insurance,4.2,(2.1k Reviews),"Gurgaon/Gurugram,Haryana + 219 more",21 years old,10001-50000 employees,
89,JP Morgan Chase,4.1,(2.1k Reviews),Private,"New York,New York + 15 more",99 years old,100001+ employees
90,Hero MotoCorp,4.2,(2k Reviews),Public,New Delhi + 206 more,37 years old,5001-10000 employees
91,Atos Syntel,3.6,(2k Reviews),Private,"Troy,Michigan + 14 more",41 years old,100001+ employees
92,Cyient,3.6,(2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 23 more",30 years old,10001-50000 employees
93,Dominos Pizza,4.2,(2k Reviews),Public,"Ypsilanti,Michigan + 169 more",61 years old,10001-50000 employees
94,JustDial,3.7,(2k Reviews),Public,"Mumbai,Maharashtra + 102 more",25 years old,10001-50000 employees
95,JLL,4.2,(2k Reviews),Private,"Mumbai,Maharashtra + 50 more",24 years old,50001-100000 employees
96,KPMG,3.7,(2k Reviews),"Amstelveen,North Holland + 41 more",34 years old,100001+ employees,
97,Bosch,4.2,(2k Reviews),Public,Sttugart + 69 more,135 years old,100001+ employees
98,Aditya Birla Fashi...,4.3,(1.9k Reviews),Private,Mumbai + 158 more,6 years old,10001-50000 employees
99,UnitedHealth,4.2,(1.9k Reviews),Private,"Minneapolis,Minnesota + 11 more",19 years old,100001+ employees
100,Tata Projects,4.2,(1.9k Reviews),Public,"Mumbai,Maharashtra + 155 more",42 years old,1001-5000 employees
101,Oracle,3.7,(1.9k Reviews),Public,"Redwood City,California + 24 more",44 years old,100001+ employees
102,Viatris,4.2,(1.9k Reviews),Pittsburgh + 52 more,1 years old,10001-50000 employees,
103,Fidelity National ...,4.0,(1.9k Reviews),Private,"Jacksonville,Florida + 24 more",24 years old,50001-100000 employees
104,First Source,3.9,(1.9k Reviews),Public,"Mumbai,Maharashtra + 35 more",20 years old,10001-50000 employees
105,Bandhan Bank,3.9,(1.8k Reviews),Public,"Kolkata,West Bengal + 344 more",20 years old,10001-50000 employees
106,Muthoot Group,3.8,(1.8k Reviews),Public,"Kochi/Cochin,Kerala + 293 more",134 years old,10001-50000 employees
107,JSW Steel,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 64 more",39 years old,10001-50000 employees
108,Godrej & Boyce Man...,4.0,(1.8k Reviews),Private,Mumbai + 98 more,124 years old,10001-50000 employees
109,iEnergizer,3.4,(1.8k Reviews),Private,"Noida,Uttar Pradesh + 13 more",21 years old,10001-50000 employees
110,Fullerton India,4.2,(1.8k Reviews),Private,Mumbai + 315 more,14 years old,10001-50000 employees
111,Dell,4.1,(1.8k Reviews),Private,"Round Rock,Texas + 63 more",37 years old,100001+ employees
112,Manappuram Finance,3.9,(1.8k Reviews),Public,"Thrissur/Trichur,Kerala + 281 more",72 years old,10001-50000 employees
113,Simplex Infrastruc...,3.7,(1.8k Reviews),Public,New Delhi + 103 more,97 years old,1001-5000 employees
114,Omega Healthcare,3.7,(1.7k Reviews),Private,Florida + 17 more,17 years old,10001-50000 employees
115,Mindtree,4.0,(1.7k Reviews),Public,Bangalore + 17 more,22 years old,10001-50000 employees
116,AU Small Finance B...,3.9,(1.7k Reviews),Private,"Jaipur,Rajasthan + 199 more",25 years old,10001-50000 employees
117,TATA Steel,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 87 more",114 years old,10001-50000 employees
118,Wipro Enterprises ...,3.8,(1.7k Reviews),Bangalore + 50 more,76 years old,100001+ employees,
